account,total_seconds,total_hms
Janssen Ticket,576.6,0:09:36
Joyce Koons Onboarding,1101.3,0:18:21
Mark Miller Onboarding,5510.7,1:31:50
asdfasdfadfaf,2.0,0:00:02
auto kings inventory check,1311.2,0:21:51
taet,26.6,0:00:26
testing,11.6,0:00:11
testing with Riggs,6.7,0:00:06
